Code,Value
110,Newa (Nepal Bhasa / ?￰ﾑﾐﾾ?￰ﾑﾐﾵ? ?￰ﾑﾐﾵ?￰ﾑﾐﾵ)
111,Nko (ߒߞߏ)
112,Nsibidi (ꁲꁲꀵ) - Ideographic (Nigeria)
113,Nüshu (?￰ﾛﾅﾱ?￰ﾛﾅﾳ?￰ﾛﾅﾵ?￰ﾛﾅﾷ?￰ﾛﾅﾹ)
114,Ogham (᚛ᚑᚌᚐᚋ᚜)
115,Ol Chiki (ᱳᱞ ᱪᱮᱢᱮᱫ)
116,Old Hungarian (Rovás / ?￰ﾐﾲﾯ?￰ﾐﾲﾱ?￰ﾐﾳﾖ?￰ﾐﾳﾙ?￰ﾐﾳﾛ?￰ﾐﾳﾝ?￰ﾐﾳﾟ)
117,"Old Italic (?￰ﾐﾌﾁ?￰ﾐﾌﾃ?￰ﾐﾌﾅ?￰ﾐﾌﾇ?￰ﾐﾌﾉ?) - Etruscan, Oscan, etc."
118,Old North Arabian (?￰ﾐﾪﾁ?￰ﾐﾪﾃ?￰ﾐﾪﾅ)
119,Old Permic (?￰ﾐﾍﾑ?￰ﾐﾍﾓ?￰ﾐﾍﾕ?￰ﾐﾍﾗ?￰ﾐﾍﾙ?￰ﾐﾍﾛ?￰ﾐﾍﾝ?￰ﾐﾍﾟ?￰ﾐﾍﾡ?￰ﾐﾍﾣ?￰ﾐﾍﾥ?￰ﾐﾍﾧ?￰ﾐﾍﾩ?￰ﾐﾍﾫ?￰ﾐﾍﾭ?￰ﾐﾍﾯ?￰ﾐﾍﾱ?￰ﾐﾍﾳ?￰ﾐﾍﾵ)
120,Old Persian Cuneiform (?￰ﾐﾎﾼ?)
121,Old Sogdian (?￰ﾐﾼﾁ?￰ﾐﾼﾃ?￰ﾐﾼﾅ?￰ﾐﾼﾇ?￰ﾐﾼﾉ?￰ﾐﾼﾋ?￰ﾐﾼﾍ?￰ﾐﾼﾏ?￰ﾐﾼﾑ?￰ﾐﾼﾓ?￰ﾐﾼﾕ?￰ﾐﾼﾗ?￰ﾐﾼﾙ?￰ﾐﾼﾛ?￰ﾐﾼﾝ?￰ﾐﾼﾟ?￰ﾐﾼﾡ?￰ﾐﾼﾣ?￰ﾐﾼﾥ?)
122,Old South Arabian (?￰ﾐﾩﾡ?￰ﾐﾩﾣ?￰ﾐﾩﾧ?￰ﾐﾩﾩ?￰ﾐﾩﾫ?￰ﾐﾩﾭ?￰ﾐﾩﾯ?￰ﾐﾩﾱ?￰ﾐﾩﾳ?￰ﾐﾩﾵ?￰ﾐﾩﾷ?￰ﾐﾩﾹ?￰ﾐﾩﾻ?)
123,Old Turkic (Orkhon / ?￰ﾐﾰﾁ?￰ﾐﾰﾃ?￰ﾐﾰﾅ?￰ﾐﾰﾇ?￰ﾐﾰﾉ?￰ﾐﾰﾋ?￰ﾐﾰﾍ?￰ﾐﾰﾏ?￰ﾐﾰﾑ?￰ﾐﾰﾓ?￰ﾐﾰﾕ?￰ﾐﾰﾗ?￰ﾐﾰﾙ?￰ﾐﾰﾛ?￰ﾐﾰﾝ?￰ﾐﾰﾟ?￰ﾐﾰﾡ?￰ﾐﾰﾣ?￰ﾐﾰﾥ?￰ﾐﾰﾧ?￰ﾐﾰﾩ?￰ﾐﾰﾫ?￰ﾐﾰﾭ?￰ﾐﾰﾯ?￰ﾐﾰﾱ?￰ﾐﾰﾳ?￰ﾐﾰﾵ?￰ﾐﾰﾷ?￰ﾐﾰﾹ?￰ﾐﾰﾻ?￰ﾐﾰﾽ?￰ﾐﾰ﾿)
124,Oriya (ଓଡ଼ିଆ)
125,Osage (?￰ﾐﾓﾟ?￰ﾐﾓﾘ?￰ﾐﾓﾟ)
126,Osmanya (?￰ﾐﾒﾁ?￰ﾐﾒﾃ?￰ﾐﾒﾅ?￰ﾐﾒﾇ?￰ﾐﾒﾉ?￰ﾐﾒﾋ?￰ﾐﾒﾍ?￰ﾐﾒﾏ?￰ﾐﾒﾑ?￰ﾐﾒﾓ?￰ﾐﾒﾕ?￰ﾐﾒﾗ?￰ﾐﾒﾙ?￰ﾐﾒﾛ?￰ﾐﾒﾝ)
127,Pahawh Hmong (?￰ﾖﾬﾔ?￰ﾖﾬﾘ?￰ﾖﾬﾚ?￰ﾖﾬﾜ?￰ﾖﾬﾞ?￰ﾖﾬﾠ?￰ﾖﾬﾢ?￰ﾖﾬﾤ?￰ﾖﾬﾦ?￰ﾖﾬﾨ?￰ﾖﾬﾪ?￰ﾖﾬﾬ?￰ﾖﾬﾮ?)
128,Palmyrene (?￰ﾐﾡﾡ?￰ﾐﾡﾣ?￰ﾐﾡﾥ?￰ﾐﾡﾧ?￰ﾐﾡﾩ?￰ﾐﾡﾫ?￰ﾐﾡﾭ?￰ﾐﾡﾯ?￰ﾐﾡﾱ?￰ﾐﾡﾳ?￰ﾐﾡﾵ?￰ﾐﾡﾷ?￰ﾐﾡﾹ?￰ﾐﾡﾻ?￰ﾐﾡﾽ?￰ﾐﾡ﾿)
129,Parthian (?￰ﾐﾭﾐ?￰ﾐﾭﾓ?￰ﾐﾭﾀ?)
130,Pau Cin Hau (?￰ﾑﾫﾖ?￰ﾑﾫﾘ?￰ﾑﾫﾚ?￰ﾑﾫﾜ?￰ﾑﾫﾞ?￰ﾑﾫﾠ?￰ﾑﾫﾢ?￰ﾑﾫﾤ?￰ﾑﾫﾦ?￰ﾑﾫﾨ?￰ﾑﾫﾪ?￰ﾑﾫﾬ?￰ﾑﾫﾮ?￰ﾑﾫﾰ?￰ﾑﾫﾲ?￰ﾑﾫﾴ?￰ﾑﾫﾶ?￰ﾑﾫﾸ)
131,"Pegon (Jawi variant, Indonesia)"
132,Phags-pa (ꡖꡍꡂꡛ ꡌ)
133,Phoenician (?￰ﾐﾤﾁ?￰ﾐﾤﾃ?￰ﾐﾤﾅ?￰ﾐﾤﾇ?￰ﾐﾤﾉ?￰ﾐﾤﾋ?￰ﾐﾤﾍ?￰ﾐﾤﾏ?￰ﾐﾤﾑ?￰ﾐﾤﾓ?￰ﾐﾤﾕ)
134,Pollard Miao (?￰ﾖﾼﾁ?￰ﾖﾼﾃ?￰ﾖﾼﾅ)
135,Psalter Pahlavi (?￰ﾐﾮﾁ?￰ﾐﾮﾃ?￰ﾐﾮﾅ?￰ﾐﾮﾇ?￰ﾐﾮﾉ?￰ﾐﾮﾋ?￰ﾐﾮﾍ?￰ﾐﾮﾏ?￰ﾐﾮﾑ?￰ﾐﾮﾓ?￰ﾐﾮﾕ?￰ﾐﾮﾗ?￰ﾐﾮﾙ?￰ﾐﾮﾛ?)
136,Punic (?￰ﾐﾤﾁ?￰ﾐﾤﾃ?￰ﾐﾤﾅ?￰ﾐﾤﾇ?￰ﾐﾤﾉ?￰ﾐﾤﾋ?￰ﾐﾤﾍ?￰ﾐﾤﾏ?￰ﾐﾤﾑ?￰ﾐﾤﾓ?￰ﾐﾤﾕ) - Late Phoenician variant
137,Ranjana (Lantsa / ?￰ﾑﾐﾘ?￰ﾑﾐﾖ?￰ﾑﾐﾵ)
138,Rejang (ꤰꥁꤳꥏꤰꥈꤳꥎ)
139,Rongorongo (?￰ﾑ﾿ﾪ?￰ﾑ﾿ﾬ?￰ﾑ﾿ﾮ) - Undeciphered (Easter Island)
140,"Runic (ᚠᚢᚦᚨᚱᚲ) - Elder Futhark, Younger Futhark, Anglo-Saxon Futhorc"
141,Samaritan (ࠀࠁࠂࠃࠄࠅࠆࠇࠈࠉࠊࠋࠌࠍࠎࠏࠐࠑࠒࠓࠔࠕ)
142,Saurashtra (ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢙꢵ)
143,Sharada (?￰ﾑﾆﾳ?￰ﾑﾆﾢ?)
144,Shavian (?￰ﾐﾑﾱ?￰ﾐﾑﾾ?)
145,"Shorthand (Various systems: Gregg, Pitman, etc.)"
146,Siddham (?￰ﾑﾖﾰ?￰ﾑﾖ﾿?￰ﾑﾖﾽ)
147,Sign Writing (Formal notation for sign languages)
148,Sinhala (සිංහල)
149,Sogdian (?￰ﾐﾼﾇ?￰ﾐﾼﾌ?￰ﾐﾼﾋ)
150,Sora Sompeng (?￰ﾑﾃﾑ?￰ﾑﾃﾓ?￰ﾑﾃﾕ?￰ﾑﾃﾗ?￰ﾑﾃﾙ?￰ﾑﾃﾛ?￰ﾑﾃﾝ?￰ﾑﾃﾟ?￰ﾑﾃﾡ?￰ﾑﾃﾣ?￰ﾑﾃﾥ?￰ﾑﾃﾧ?)
151,Soyombo (?￰ﾑﾪﾟ?￰ﾑﾪﾡ?￰ﾑﾪﾣ?￰ﾑﾪﾥ?￰ﾑﾪﾧ?￰ﾑﾪﾩ?￰ﾑﾪﾫ?￰ﾑﾪﾭ?￰ﾑﾪﾯ?￰ﾑﾪﾱ?￰ﾑﾪﾳ?￰ﾑﾪﾵ?￰ﾑﾪﾷ?)
152,Sundanese (ᮞᮥᮔ᮪ᮓᮔᮦᮞ)
153,Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ)
154,Syriac (ܐܠܦ ܒܝܬ ܣܘܪܝܝܐ)
155,Tagalog (Baybayin / ᜊᜌ᜔ᜊᜌᜒᜈ᜔)
156,Tagbanwa (ᝦᝪᝯᝰ)
157,Tai Le (ᥖᥭᥰ ᥘᥫᥴ)
158,Tai Tham (Lanna / ᨲ᩠ᩅᩫᨾᩮᩬᩥᨦ)
159,Tai Viet (ꪼꪕ ꪫꪸꪒ)
160,Takri (?￰ﾑﾚﾭ?￰ﾑﾚﾤ?)
161,Tamil (தமிழ்)
162,Tangut (?￰ﾘﾝﾞ)
163,Telugu (తెలుగు)
164,Tengwar (?￰ﾑﾁﾂ?￰ﾑﾁﾆ?￰ﾑﾀﾸ?￰ﾑﾁﾆ) - Artificial (Tolkien)
165,Thaana (ދިވެހި)
166,Thai (ไทย)
167,Tibetan (བོད་)
168,Tifinagh (ⵜⵉⴼⵉⵏⴰⵖ) - Berber
169,Tirhuta (Mithilakshar / ?￰ﾑﾒﾱ?￰ﾑﾒﾯ?￰ﾑﾒﾞ?)
170,Toto (?￰ﾞﾊﾑ?￰ﾞﾊﾓ?￰ﾞﾊﾕ?￰ﾞﾊﾗ?￰ﾞﾊﾙ)
171,Ugaritic (?￰ﾐﾎﾁ?￰ﾐﾎﾃ?￰ﾐﾎﾅ?￰ﾐﾎﾇ?￰ﾐﾎﾉ?￰ﾐﾎﾋ?￰ﾐﾎﾍ?￰ﾐﾎﾏ?￰ﾐﾎﾑ?￰ﾐﾎﾓ?￰ﾐﾎﾕ?￰ﾐﾎﾗ?￰ﾐﾎﾙ?￰ﾐﾎﾛ?￰ﾐﾎﾝ)
172,Urdu (اردو) - Perso-Arabic script variant
173,Vai (ꕙꔤ)
174,Warang Citi (?￰ﾑﾢﾺ?￰ﾑﾢﾼ?￰ﾑﾢﾾ?￰ﾑﾣﾀ?￰ﾑﾣﾂ?￰ﾑﾣﾄ?￰ﾑﾣﾆ?￰ﾑﾣﾈ?￰ﾑﾣﾊ?￰ﾑﾣﾌ?￰ﾑﾣﾎ?￰ﾑﾣﾐ?￰ﾑﾣﾒ?￰ﾑﾣﾔ?￰ﾑﾣﾖ?￰ﾑﾣﾘ?￰ﾑﾣﾚ?￰ﾑﾣﾜ?￰ﾑﾣﾞ?)
175,Yi (ꆈꌠꁱꂷ)
176,Zanabazar Square (?￰ﾑﾨﾆ?￰ﾑﾨﾳ?￰ﾑﾨﾆ?￰ﾑﾨﾳ?￰ﾑﾨﾳ?￰ﾑﾨﾆ?￰ﾑﾨﾳ)
